Survey Year,Team,State,Players,Operating Expenses per Participant,Operating Expenses,Total Revenues,Total Expenses,Net Revenue
2016,Appalachian State University,NC,110,15915,1750674,7923498,7923498,0
2016,Arizona State University-Tempe,AZ,121,42139,5098808,43012682,31371363,11641319
2016,Arkansas State University-Main Campus,AR,118,15107,1782591,7159248,7159248,0
2016,Auburn,AL,120,39161,4699320,91652926,42825220,48827706
2016,Ball State University,IN,99,12031,1191045,7044512,7044512,0
2016,Baylor University,TX,114,43480,4956668,43223215,33370976,9852239
2016,Boise State University,ID,112,22592,2530303,21302390,11141018,10161372
2016,Boston College,MA,105,43323,4548921,28487714,23103611,5384103
2016,Bowling Green State University-Main Campus,OH,107,11264,1205238,6537321,6537321,0
2016,Brigham Young University-Provo,UT,128,26857,3437648,26116548,19253088,6863460
2016,California State University-Fresno,CA,112,21809,2442580,13219900,13219900,0
2016,Central Michigan University,MI,115,19158,2203170,7233254,7233254,0
2016,Clemson,SC,121,78309,9475336,51712856,43943578,7769278
2016,Colorado State University-Fort Collins,CO,112,37152,4160992,15444486,15444486,0
2016,Duke University,NC,116,26439,3066919,33907896,24492430,9415466
2016,East Carolina University,NC,109,26130,2848142,12595950,10591998,2003952
2016,Eastern Michigan University,MI,129,10442,1346977,9033503,9033503,0
2016,Florida Atlantic University,FL,115,16580,1906675,7915024,7915024,0
2016,Florida International University,FL,109,26263,2862647,8168032,11396788,-3228756
2016,Florida State,FL,121,77273,9350060,86565283,48330205,38235078
2016,Georgia Institute of Technology-Main Campus,GA,116,27992,3247066,46252310,22349543,23902767
2016,Georgia Southern University,GA,123,8692,1069142,6138567,6138567,0
2016,Georgia State University,GA,119,10347,1231307,7955423,7955423,0
2016,Indiana University-Bloomington,IN,128,39664,5076950,37085787,25672983,11412804
2016,Iowa State University,IA,137,30426,4168338,41584474,19177215,22407259
2016,Kansas State University,KS,125,26803,3350408,40887031,19889407,20997624
2016,Kent State University at Kent,OH,100,15703,1570300,6861750,6861750,0
2016,LSU,LA,120,27851,3342125,86183249,30086567,56096682
2016,Louisiana Tech University,LA,100,14841,1484146,8334252,8284960,49292
2016,Marshall University,WV,117,17032,1992746,8905082,8905082,0
2016,Miami University-Oxford,OH,111,13043,1447764,9029644,9346412,-316768
2016,Michigan State University,MI,118,48627,5737978,64958793,26326106,38632687
2016,Middle Tennessee State University,TN,129,14237,1836595,10541364,10541364,0
2016,Mississippi State University,MS,119,37929,4513562,35687282,23069814,12617468
2016,New Mexico State University-Main Campus,NM,108,11316,1222177,6184956,6184956,0
2016,North Carolina Central University,NC,114,5726,652770,5110609,4193719,916890
2016,North Carolina State University at Raleigh,NC,115,13546,1557765,43165259,20866002,22299257
2016,Northern Illinois University,IL,113,13329,1506182,8035152,8035152,0
2016,Northwestern University,IL,103,45953,4733130,38681564,26751803,11929761
2016,Ohio State,OH,130,74320,9661535,89893135,38446470,51446665
2016,Ohio University,OH,120,11132,1335827,10705125,10134888,570237
2016,Oklahoma State,OK,137,16919,2317839,42225614,19321071,22904543
2016,Old Dominion University,VA,118,17427,2056382,10391676,10391676,0
2016,Oregon State University,OR,105,31072,3262585,33866008,16354490,17511518
2016,Penn State,PA,117,85187,9966893,81106066,39163720,41942346
2016,Purdue University-Main Campus,IN,110,26076,2868380,26014107,26680356,-666249
2016,Rice University,TX,112,12281,1375455,12001178,12001178,0
2016,Rutgers University-New Brunswick,NJ,107,28443,3043397,25423916,25423916,0
2016,San Diego State University,CA,122,56626,6908389,13715072,14635173,-920101
2016,San Jose State University,CA,97,20187,1958185,8228106,8228106,0
2016,Southern Methodist University,TX,120,19164,2299681,17637584,17637584,0
2016,Stanford,CA,103,44614,4595243,44469378,24606269,19863109
2016,Syracuse University,NY,117,26161,3060889,44182377,22039433,22142944
2016,Temple,PA,125,32624,4077992,20624125,20624125,0
2016,Texas A & M University-College Station,TX,126,42102,5304848,70427183,31078112,39349071
2016,Texas Christian University,TX,125,54944,6868011,58775636,35716777,23058859
2016,Texas State University,TX,120,14466,1735898,6952086,6952086,0
2016,Texas Tech University,TX,121,29830,3609424,44646242,21460207,23186035
2016,Alabama,AL,135,57159,7716404,108117057,62252389,45864668
2016,Tennessee,TN,125,31799,3974816,110673571,32600254,78073317
2016,The University of Texas at Austin,TX,125,53077,6634626,141173444,43306703,97866741
2016,The University of Texas at El Paso,TX,119,17575,2091408,12454995,9699853,2755142
2016,The University of Texas at San Antonio,TX,116,15736,1825376,10615893,10615893,0
2016,Troy University,AL,131,8538,1118541,8764479,8442152,322327
2016,Tulane University of Louisiana,LA,99,21253,2104051,13367701,13367701,0
2016,University at Buffalo,NY,117,13925,1629282,7796405,7796405,0
2016,University of Akron Main Campus,OH,105,10340,1085702,7253770,7253770,0
2016,University of Arizona,AZ,113,40198,4542374,44177156,21138814,23038342
2016,University of Arkansas,AR,122,57375,6999794,71197898,37326361,33871537
2016,University of California-Berkeley,CA,133,48449,6443709,44279264,22909592,21369672
2016,University of California-Los Angeles,CA,109,62462,6808309,39953277,27320771,12632506
2016,University of Central Florida,FL,124,24064,2983948,21546497,17064586,4481911
2016,University of Cincinnati-Main Campus,OH,108,21729,2346753,15491793,15491793,0
2016,Colorado,CO,116,35433,4110274,43529706,22126313,21403393
2016,University of Connecticut,CT,104,47645,4955111,25936445,20454919,5481526
2016,Florida,FL,120,69299,8315894,82791752,33692163,49099589
2016,University of Georgia,GA,128,73530,9411835,93335288,36387975,56947313
2016,University of Hawaii at Manoa,HI,119,24366,2899518,11811670,11811670,0
2016,University of Houston,TX,122,25642,3128266,14641643,14641643,0
2016,University of Idaho,ID,105,17400,1826960,7283199,7069959,213240
2016,University of Illinois at Urbana-Champaign,IL,102,20796,2121157,35622414,22332328,13290086
2016,University of Iowa,IA,121,35984,4354108,58685965,31800591,26885374
2016,University of Kansas,KS,109,28935,3153937,33144217,17061940,16082277
2016,University of Kentucky,KY,123,32067,3944280,36393185,25589648,10803537
2016,University of Louisiana at Lafayette,LA,133,15075,2005012,8450123,8450123,0
2016,University of Louisiana at Monroe,LA,127,8517,1081660,5394664,5394664,0
2016,Louisville,KY,121,46476,5623607,42066595,25194609,16871986
2016,University of Maryland-College Park,MD,111,25269,2804907,29973008,18908923,11064085
2016,University of Massachusetts-Amherst,MA,114,18609,2121379,10457450,10457450,0
2016,University of Memphis,TN,120,18729,2247509,14713436,14713436,0
2016,University of Miami,FL,114,48672,5548650,35358218,33018938,2339280
2016,Michigan,MI,139,46915,6521230,105876108,46249632,59626476
2016,University of Minnesota,MN,112,65042,7284695,48886935,30950349,17936586
2016,University of Mississippi,MS,119,51864,6171814,62681760,30410352,32271408
2016,University of Missouri-Columbia,MO,123,27118,3335459,29205904,21093796,8112108
2016,University of Nebraska-Lincoln,NE,139,45051,6262083,69503006,36571682,32931324
2016,University of Nevada-Las Vegas,NV,100,17814,1781390,9806497,9806497,0
2016,University of Nevada-Reno,NV,123,14763,1815896,9730719,9283715,447004
2016,University of New Mexico-Main Campus,NM,113,18056,2040324,11778648,11778648,0
2016,University of North Carolina at Chapel Hill,NC,134,31414,4209429,41163583,21670847,19492736
2016,University of North Carolina at Charlotte,NC,122,16053,1958463,8182524,8182524,0
2016,University of North Texas,TX,113,22895,2587118,9917343,9917343,0
2016,University of Notre Dame,IN,117,61484,7193626,96835375,33257684,63577691
2016,Oklahoma,OK,115,77962,8965632,95876446,37848199,58028247
2016,University of Oregon,OR,111,41646,4622703,66307082,28912049,37395033
2016,Pitt,PA,114,43441,4952275,40124656,27421284,12703372
2016,University of South Alabama,AL,126,11347,1429783,9022485,9312511,-290026
2016,University of South Carolina-Columbia,SC,121,30855,3733457,60264364,34794858,25469506
2016,University of South Florida-Main Campus,FL,118,20334,2399354,15588752,12657036,2931716
2016,Southern Cal,CA,107,100468,10750045,59837839,30184975,29652864
2016,University of Southern Mississippi,MS,111,13439,1491690,7047869,7047869,0
2016,University of Toledo,OH,120,17970,2156347,10046711,10046711,0
2016,University of Tulsa,OK,116,13810,1601989,15145884,15145884,0
2016,Utah,UT,127,42771,5431971,51559243,24483890,27075353
2016,University of Virginia-Main Campus,VA,108,20986,2266453,21136336,21136336,0
2016,Washington,WA,116,90324,10477593,80230690,37660773,42569917
2016,Wisconsin,WI,115,45114,5188088,73548409,33147287,40401122
2016,University of Wyoming,WY,119,17502,2082695,13133784,10397742,2736042
2016,Utah State University,UT,108,13365,1443404,8981573,8981573,0
2016,Vanderbilt University,TN,104,32089,3337269,29036478,23316024,5720454
2016,Virginia Tech,VA,119,27320,3251083,53471351,24995627,28475724
2016,Wake Forest University,NC,110,19485,2143350,23955942,18880147,5075795
2016,Washington State University,WA,117,24494,2865797,40547097,19053746,21493351
2016,West Virginia,WV,128,49748,6367782,22453097,20122095,2331002
2016,Western Kentucky University,KY,114,9959,1135360,8914222,8914222,0
2016,Western Michigan,MI,99,10147,1004578,8667334,8667334,0